case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,80m,3550000,15.875,-1036.3,1356.433537575742,0.7884,True,kx3,KX3 / KXAT3,kxat3,23.987973531239778,0.13400254831740446,8.72886942607852,0.25,0.1,1.4585188996025507,True,source_shunt,1.9300000000000002,2683.0,1.1852885869577685,0.965216972470475,0.7346764034719901,1.3390390871486726,0.07160704700673769,11.450442357153136
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,60m,5357000,38.274,-361.66,70.40584924268016,0.8459,True,kx2,KX2 / KXAT2,kxat2,10.448922616999667,0.535507970485228,2.712340607574444,0.25,0.1,1.5351294906095005,True,source_shunt,0.125,1323.0,0.24037117850069442,0.9554428426604723,0.9039982579579637,0.43832406427261195,0.377791826516122,4.227474422250496
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,60m,5357000,38.274,-361.66,70.40584924268016,0.8459,True,kx3,KX3 / KXAT3,kxat3,10.448922616999667,0.535507970485228,2.712340607574444,0.25,0.1,1.1191658515834648,True,load_shunt,0.0,1839.0,0.04063731995879219,0.9968379134885378,0.9875539160292011,0.054391845169274616,0.4127107485390416,3.843542203147158
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,40m,7050000,139.85,298.16,15.804787826508203,0.8884000000000001,True,kx2,KX2 / KXAT2,kxat2,3.8536883683344905,0.7954814727595568,0.993699308784807,0.25,0.1,1.0662680281549475,True,load_shunt,1.7499999999999998,67.0,0.11278653202477466,0.9989714277942565,0.9733620588734222,0.1172558632658898,0.6346189448706274,1.974869673286333
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,40m,7050000,139.85,298.16,15.804787826508203,0.8884000000000001,True,kx3,KX3 / KXAT3,kxat3,3.8536883683344905,0.7954814727595568,0.993699308784807,0.25,0.1,1.0666227354634246,True,load_shunt,1.7499999999999998,67.0,0.11486072105081113,0.9989607440608214,0.9728868875897331,0.11937649917878677,0.6343091395973084,1.9769903091992302
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,40m,7050000,139.85,298.16,15.804787826508203,0.8884000000000001,True,kh1,KH1 / KHATU1,khatu1,3.8536883683344905,0.7954814727595568,0.993699308784807,0.25,0.1,1.1207560484335346,True,load_shunt,1.75,60.0,0.10143620080075302,0.9967578257122045,0.9737467787322487,0.11553966013728931,0.6348697770339047,1.9731534701577327
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,40m,7050000,139.85,298.16,15.804787826508203,0.8884000000000001,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,3.8536883683344905,0.7954814727595568,0.993699308784807,0.25,0.1,1.2787441241937003,True,load_shunt,1.5,100.0,0.11721440821959235,0.9850369433844199,0.9588067394073158,0.1826892199224065,0.6251290727335046,2.0403030299428497
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,30m,10120000,285.83,-1140.7,96.92809254073362,0.9044,True,kx2,KX2 / KXAT2,kxat2,7.04878425256101,0.5678853799437157,2.4573931196718464,0.25,0.1,1.0532856176835406,True,load_shunt,0.8749999999999999,586.0,0.10366537092960655,0.9993265253106162,0.9757552081476859,0.10659121969578689,0.4623406931155806,3.3503788026344123
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,30m,10120000,285.83,-1140.7,96.92809254073362,0.9044,True,kx3,KX3 / KXAT3,kxat3,7.04878425256101,0.5678853799437157,2.4573931196718464,0.25,0.1,1.0593556757343519,True,load_shunt,0.8699999999999999,586.0,0.10539812600050921,0.9991692663833234,0.9752124890491598,0.10900745566045028,0.4620835373022328,3.3527950385990755
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,30m,10120000,285.83,-1140.7,96.92809254073362,0.9044,True,kh1,KH1 / KHATU1,khatu1,7.04878425256101,0.5678853799437157,2.4573931196718464,0.25,0.1,2.3509341685006997,True,load_shunt,0.0,420.0,0.016106865646971502,0.8374688603314427,0.8343686561476658,0.7864201896046813,0.3953477056295046,4.0302077725433065
