geometry,radiator_ft,band,frequency_hz,resistance_ohm,reactance_ohm,nec_efficiency,center_height_ft,end_height_ft,included_angle_deg
carolina_20_5,54.5,15m,21050000,303.33,-1063.7,0.9236,20.0,5.0,113.20302306402552
carolina_20_5,54.5,12m,24910000,101.3,-289.63,0.8703,20.0,5.0,113.20302306402552
carolina_20_5,54.5,10m,28050000,120.52,204.16,0.8565,20.0,5.0,113.20302306402552
carolina_20_5,55.0,40m,7050000,30.74,-283.74,0.7902,20.0,5.0,113.88853769829201
carolina_20_5,55.0,30m,10120000,94.381,282.01,0.8739,20.0,5.0,113.88853769829201
carolina_20_5,55.0,20m,14050000,723.64,1540.2,0.9244,20.0,5.0,113.88853769829201
carolina_20_5,55.0,17m,18080000,1701.6,-2318.4,0.9365000000000001,20.0,5.0,113.88853769829201
carolina_20_5,55.0,15m,21050000,277.46,-1009.3,0.9209999999999999,20.0,5.0,113.88853769829201
carolina_20_5,55.0,12m,24910000,97.837,-253.85,0.8651000000000001,20.0,5.0,113.88853769829201
carolina_20_5,55.0,10m,28050000,127.77,250.67,0.8573000000000001,20.0,5.0,113.88853769829201
carolina_20_5,55.5,40m,7050000,31.514,-270.99,0.7920999999999999,20.0,5.0,114.5591132672484
carolina_20_5,55.5,30m,10120000,98.022,300.87,0.8752,20.0,5.0,114.5591132672484
carolina_20_5,55.5,20m,14050000,793.71,1613.1,0.9248999999999999,20.0,5.0,114.5591132672484
carolina_20_5,55.5,17m,18080000,1480.1,-2237.6,0.9357,20.0,5.0,114.5591132672484
carolina_20_5,55.5,15m,21050000,254.47,-957.48,0.9181999999999999,20.0,5.0,114.5591132672484
carolina_20_5,55.5,12m,24910000,95.041,-218.35,0.86,20.0,5.0,114.5591132672484
carolina_20_5,55.5,10m,28050000,136.62,298.87,0.8587,20.0,5.0,114.5591132672484
carolina_20_5,56.0,40m,7050000,32.3,-258.33,0.7939,20.0,5.0,115.21526902831401
carolina_20_5,56.0,30m,10120000,101.8,319.93,0.8764,20.0,5.0,115.21526902831401
carolina_20_5,56.0,20m,14050000,872.91,1688.9,0.9253,20.0,5.0,115.21526902831401
carolina_20_5,56.0,17m,18080000,1292.9,-2148.4,0.9349,20.0,5.0,115.21526902831401
carolina_20_5,56.0,15m,21050000,233.98,-908.13,0.9152,20.0,5.0,115.21526902831401
carolina_20_5,56.0,12m,24910000,92.892,-183.02,0.8551000000000001,20.0,5.0,115.21526902831401
carolina_20_5,56.0,10m,28050000,147.34,349.01,0.8606,20.0,5.0,115.21526902831401
carolina_20_5,56.5,40m,7050000,33.1,-245.76,0.7957,20.0,5.0,115.85749873450638
carolina_20_5,56.5,30m,10120000,105.74,339.2,0.8776,20.0,5.0,115.85749873450638
carolina_20_5,56.5,20m,14050000,962.75,1767.4,0.9257,20.0,5.0,115.85749873450638
carolina_20_5,56.5,17m,18080000,1134.6,-2055.9,0.934,20.0,5.0,115.85749873450638
carolina_20_5,56.5,15m,21050000,215.66,-860.98,0.912,20.0,5.0,115.85749873450638
carolina_20_5,56.5,12m,24910000,91.408,-147.76,0.8506999999999999,20.0,5.0,115.85749873450638
carolina_20_5,56.5,10m,28050000,160.2,401.35,0.8629000000000001,20.0,5.0,115.85749873450638
carolina_20_5,57.0,40m,7050000,33.912,-233.28,0.7975,20.0,5.0,116.48627228140576
carolina_20_5,57.0,30m,10120000,109.83,358.69,0.8787,20.0,5.0,116.48627228140576
carolina_20_5,57.0,20m,14050000,1065.0,1848.3,0.9259999999999999,20.0,5.0,116.48627228140576
carolina_20_5,57.0,17m,18080000,1000.3,-1963.5,0.9329999999999999,20.0,5.0,116.48627228140576
carolina_20_5,57.0,15m,21050000,199.25,-815.82,0.9085,20.0,5.0,116.48627228140576
carolina_20_5,57.0,12m,24910000,90.545,-112.49,0.8467,20.0,5.0,116.48627228140576
carolina_20_5,57.0,10m,28050000,175.52,456.19,0.8656999999999999,20.0,5.0,116.48627228140576
carolina_20_5,57.5,40m,7050000,34.738,-220.88,0.7992,20.0,5.0,117.10203722124086
carolina_20_5,57.5,30m,10120000,114.09,378.42,0.8798,20.0,5.0,117.10203722124086
carolina_20_5,57.5,20m,14050000,1181.8,1930.9,0.9262999999999999,20.0,5.0,117.10203722124086
carolina_20_5,57.5,17m,18080000,885.95,-1873.0,0.9319,20.0,5.0,117.10203722124086
carolina_20_5,57.5,15m,21050000,184.53,-772.47,0.9048,20.0,5.0,117.10203722124086
carolina_20_5,57.5,12m,24910000,90.333,-77.122,0.8432,20.0,5.0,117.10203722124086
carolina_20_5,57.5,10m,28050000,193.85,513.88,0.8687,20.0,5.0,117.10203722124086
carolina_20_5,58.0,40m,7050000,35.578,-208.55,0.8008,20.0,5.0,117.70522015698207
carolina_20_5,58.0,30m,10120000,118.52,398.4,0.8809,20.0,5.0,117.70522015698207
carolina_20_5,58.0,20m,14050000,1315.7,2014.0,0.9266,20.0,5.0,117.70522015698207
carolina_20_5,58.0,17m,18080000,788.08,-1785.7,0.9306,20.0,5.0,117.70522015698207
carolina_20_5,58.0,15m,21050000,171.3,-730.77,0.9007999999999999,20.0,5.0,117.70522015698207
carolina_20_5,58.0,12m,24910000,90.815,-41.54,0.8404,20.0,5.0,117.70522015698207
carolina_20_5,58.0,10m,28050000,215.52,574.76,0.8719,20.0,5.0,117.70522015698207
carolina_20_5,58.5,40m,7050000,36.432,-196.29,0.8024,20.0,5.0,118.2962280278693
carolina_20_5,58.5,30m,10120000,123.15,418.66,0.8819,20.0,5.0,118.2962280278693
carolina_20_5,58.5,20m,14050000,1469.3,2096.0,0.9268000000000001,20.0,5.0,118.2962280278693
carolina_20_5,58.5,17m,18080000,703.94,-1702.0,0.9293,20.0,5.0,118.2962280278693
carolina_20_5,58.5,15m,21050000,159.4,-690.56,0.8966,20.0,5.0,118.2962280278693
carolina_20_5,58.5,12m,24910000,91.961,-5.6708,0.8382999999999999,20.0,5.0,118.2962280278693
carolina_20_5,58.5,10m,28050000,240.78,639.21,0.8748,20.0,5.0,118.2962280278693
carolina_20_5,59.0,40m,7050000,37.301,-184.11,0.8039000000000001,20.0,5.0,118.87544929653434
carolina_20_5,59.0,30m,10120000,127.97,439.22,0.8829,20.0,5.0,118.87544929653434
carolina_20_5,59.0,20m,14050000,1646.1,2174.4,0.927,20.0,5.0,118.87544929653434
carolina_20_5,59.0,17m,18080000,631.26,-1622.3,0.9278,20.0,5.0,118.87544929653434
carolina_20_5,59.0,15m,21050000,148.7,-651.69,0.8920999999999999,20.0,5.0,118.87544929653434
carolina_20_5,59.0,12m,24910000,93.855,30.603,0.8369,20.0,5.0,118.87544929653434
carolina_20_5,59.0,10m,28050000,270.84,707.71,0.8779,20.0,5.0,118.87544929653434
