candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
35r-17c,35.0,17.0,30ft,poor,copper,15m,21050000,207.26,499.31,28.408994003252662,5.21564485370586,True,0.9479000000000001
35r-25c,35.0,25.0,20ft,average,ccs_mid,40m,7050000,54.914,-126.78,7.733427803252743,2.4397175954580574,True,0.8552
35r-25c,35.0,25.0,20ft,average,ccs_mid,30m,10120000,165.16,519.22,36.22417833809372,5.911771939877321,True,0.8822
35r-25c,35.0,25.0,20ft,average,ccs_mid,20m,14050000,1712.0,-1395.2,56.99211539547944,7.482008826162018,False,0.8925
35r-25c,35.0,25.0,20ft,average,ccs_mid,17m,18080000,2180.8,684.49,47.91488901580058,6.849294269425011,False,0.9085
35r-25c,35.0,25.0,20ft,average,ccs_mid,15m,21050000,411.89,-863.42,44.53543611098693,6.590637185195594,False,0.9062
35r-25c,35.0,25.0,20ft,average,copper,40m,7050000,51.706,-129.73,8.391795388441878,2.5581152507907983,True,0.922
35r-25c,35.0,25.0,20ft,average,copper,30m,10120000,156.48,513.13,37.075326874750445,5.981870053581451,True,0.9372
35r-25c,35.0,25.0,20ft,average,copper,20m,14050000,1780.6,-1462.2,59.6380137055779,7.6568075013013575,False,0.9431
35r-25c,35.0,25.0,20ft,average,copper,17m,18080000,2145.8,780.54,48.59719070569607,6.898874306291345,False,0.9517
35r-25c,35.0,25.0,20ft,average,copper,15m,21050000,409.34,-883.13,46.393544338844535,6.730003804913455,False,0.9506999999999999
35r-25c,35.0,25.0,20ft,poor,ccs_mid,40m,7050000,63.598,-134.7,7.6330063756255075,2.4449597356725596,True,0.8755
35r-25c,35.0,25.0,20ft,poor,ccs_mid,30m,10120000,184.48,510.83,32.219630768291175,5.5659352904055375,True,0.8956999999999999
35r-25c,35.0,25.0,20ft,poor,ccs_mid,20m,14050000,1840.8,-1393.1,57.91159203485957,7.543321392560745,False,0.8943000000000001
35r-25c,35.0,25.0,20ft,poor,ccs_mid,17m,18080000,2159.0,471.87,45.24368993812224,6.651513632096233,False,0.9176000000000001
35r-25c,35.0,25.0,20ft,poor,ccs_mid,15m,21050000,412.76,-839.17,42.47462042555926,6.432497814047475,False,0.9122
35r-25c,35.0,25.0,20ft,poor,copper,40m,7050000,60.384,-137.61,8.185577536371731,2.545527393263902,True,0.9335
35r-25c,35.0,25.0,20ft,poor,copper,30m,10120000,175.79,504.97,32.78101111689799,5.614898600700534,True,0.9447
35r-25c,35.0,25.0,20ft,poor,copper,20m,14050000,1921.1,-1455.7,60.4924242904303,7.712517651877977,False,0.9440999999999999
35r-25c,35.0,25.0,20ft,poor,copper,17m,18080000,2139.7,559.96,45.726331833916106,6.687662768811122,False,0.9567
35r-25c,35.0,25.0,20ft,poor,copper,15m,21050000,411.02,-857.5,44.098957243468995,6.557437375609442,False,0.9540000000000001
35r-25c,35.0,25.0,30ft,average,ccs_mid,40m,7050000,58.797,-129.38,7.588434680513029,2.422773336628696,True,0.8645999999999999
35r-25c,35.0,25.0,30ft,average,ccs_mid,30m,10120000,185.04,518.51,32.999573545231975,5.635571410341183,True,0.8953
35r-25c,35.0,25.0,30ft,average,ccs_mid,20m,14050000,1942.0,-1236.0,54.58064862204212,7.319373161750088,False,0.9048999999999999
35r-25c,35.0,25.0,30ft,average,ccs_mid,17m,18080000,2142.3,690.64,47.301203094444226,6.804337205355304,False,0.9076000000000001
35r-25c,35.0,25.0,30ft,average,ccs_mid,15m,21050000,418.2,-868.36,44.52274902199629,6.5898140664888505,False,0.9081
35r-25c,35.0,25.0,30ft,average,copper,40m,7050000,55.538,-132.35,8.196989896878348,2.5335156225066773,True,0.9273
35r-25c,35.0,25.0,30ft,average,copper,30m,10120000,176.17,512.63,33.611093215199276,5.688323876966,True,0.9445
35r-25c,35.0,25.0,30ft,average,copper,20m,14050000,2026.1,-1280.9,56.7247432510317,7.4644285976571405,False,0.95
35r-25c,35.0,25.0,30ft,average,copper,17m,18080000,2104.7,785.46,47.959474064560034,6.852486311355401,False,0.9512
35r-25c,35.0,25.0,30ft,average,copper,15m,21050000,415.83,-888.1,46.350076886820574,6.726916855383417,False,0.9517
