selection_category,radiator_total_ft,feedline_ft,band,r_input_p10_ohm,r_input_median_ohm,r_input_p90_ohm,x_input_p10_ohm,x_input_median_ohm,x_input_p90_ohm,raw_swr_p10,raw_swr_median,raw_swr_p90,line_efficiency_p10,line_efficiency_median,line_efficiency_p90
best_trim_only_under_match_proxy,57.0,27.75,12m,2.6968263492794984,3.5631271908595514,29.342734113360354,-35.52914270235158,-34.424504481586084,-10.5768606063414,1.8187695271083966,20.56796475641611,27.296927526641213,0.36731710639027554,0.7295185006745996,0.9580720348132702
best_trim_only_under_match_proxy,57.0,27.75,10m,4.121156223423708,4.743378001455171,25.22349252183925,-45.673577883151744,-44.16135938934292,13.183098213752865,2.0214146979114087,18.997637383381083,21.811652861262157,0.4618201254231315,0.8361126549697,0.9589323734366079
best_priority_weighted_under_match_proxy,57.25,27.75,40m,24.191460021503968,30.563991306586924,36.80828286732034,-214.44282975041224,-213.6018898868001,-210.59077081059615,26.909708902591486,32.14416345045271,39.05834004671167,0.9492349970907257,0.9722714288827121,0.9948419239332884
best_priority_weighted_under_match_proxy,57.25,27.75,30m,29.751907691256147,34.183652524336544,38.82445034207142,-37.531644173902805,-35.054647451378074,-29.388302043934054,2.3187696764696764,2.4234147581329024,2.504841374262393,0.9556806873196827,0.9761108818079489,0.9954546268843534
best_priority_weighted_under_match_proxy,57.25,27.75,20m,4.720010612768191,5.309597149423755,17.86195753171051,-83.46472555173975,-82.81879093983605,-72.62298915283898,8.902549424082002,35.544785638730346,40.00332742840855,0.670435177188474,0.8719331185798145,0.9659628952588385
best_priority_weighted_under_match_proxy,57.25,27.75,17m,2.3992360935717554,2.7787183782838785,12.863115797388657,-49.759749154302426,-48.948555560655585,-35.59756351297738,5.958268426450914,34.96139204061247,41.24929613430676,0.2195165057410738,0.7578764720785682,0.9384488961012936
best_priority_weighted_under_match_proxy,57.25,27.75,15m,50.06172045056361,55.8007301215633,64.99952317455762,-28.6795807551121,-19.38436614213186,7.826250246476997,1.1785475963904577,1.4693040663030756,1.7749770504998401,0.9619510848997735,0.9795280350685267,0.9960213970308142
best_priority_weighted_under_match_proxy,57.25,27.75,12m,2.9946971542139407,3.8032984361809055,23.095761853215866,-35.590634824450575,-34.48224503756879,-17.355339061114915,2.485622623865515,19.706670988648604,23.651676187340676,0.3949378607656807,0.7403905305567708,0.9468371284628609
best_priority_weighted_under_match_proxy,57.25,27.75,10m,4.090177853544534,4.545109140693594,20.358638672067137,-45.2476816616879,-43.96308035453537,-1.0998884983328376,2.760000090152317,19.726202250726473,21.86975185531433,0.4550130471700511,0.8271287413347497,0.9520670394867417
highest_robust_efficiency_without_match_proxy,56.75,18.0,40m,35.7103381192612,54.317573196814834,75.19222315812682,-581.4080238086957,-569.5787226857151,-557.8682064209115,86.79680114919132,123.05145273945011,183.92150916113826,0.9584011874162345,0.9803163285452983,0.9960834919234719
highest_robust_efficiency_without_match_proxy,56.75,18.0,30m,49.22536223976874,65.72957803110813,82.98762557803235,-437.2881085202722,-418.5477726919727,-402.86261848050464,47.01423259286462,55.83829012387112,69.5912321480506,0.9720254330955279,0.9849427126452175,0.9972463327435275
highest_robust_efficiency_without_match_proxy,56.75,18.0,20m,16.116504248402922,20.993539946342338,96.55779594634936,-948.6675937364583,-884.8361985907984,-814.3167905359805,135.70592256490647,786.5764035170707,969.3037784681173,0.7330861312800798,0.9111856788011048,0.9774015902591154
highest_robust_efficiency_without_match_proxy,56.75,18.0,17m,20.337586986353784,37.77298705514379,157.31071090753818,-1770.4735312310536,-1499.4697918597255,-1270.7244793990794,208.92684415775273,1377.9250604560857,2283.9124157140113,0.3357548517751154,0.8600668277974202,0.9706282117687699
highest_robust_efficiency_without_match_proxy,56.75,18.0,15m,586.4847806113482,1322.9500383834988,2240.3938219603756,-1779.0279817628914,-1537.6140790529794,-1212.6580422714974,55.8115154111303,69.7950341100717,84.09886538422008,0.9764819005629541,0.98762757543185,0.9976279605919034
highest_robust_efficiency_without_match_proxy,56.75,18.0,12m,96.46928391228576,293.13531340955535,5167.493611423592,2566.117962788962,3565.136895720603,7474.970990793506,128.776488067495,1517.3123194408126,2221.795585548198,0.4427325584169794,0.8028142657257442,0.9772292815695702
highest_robust_efficiency_without_match_proxy,56.75,18.0,10m,22.942605950923937,48.935906604670436,603.5536562454819,1074.6332252254892,1466.748325734534,2376.8584307811398,147.0589144022983,892.1570079976691,1114.4431418166555,0.5814634539890042,0.8927396149223353,0.9755671989951421
