deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,atu_profile_status,tuner_loss_envelope,tuner_objective,hardware_loss_envelope,transformer_primary_resistance_ohm,transformer_primary_reactance_ohm,tuner_load_resistance_ohm,tuner_load_reactance_ohm,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_tuner_efficiency,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,lowest_loss_swr_2p5,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.3660104967719093,True,load_shunt,0.0,120.0,0.9909770893721098,0.039363859529552056,0.9760693912038784,0.9672624043204266,0.14455692112408597,0.4732642267310291,3.2489632190106232
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,best_swr,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.3700532685143956,True,source_shunt,0.0,120.0,0.9937409778818218,0.02726801252632168,0.9756212027988279,0.9695147681115465,0.1344557115412143,0.6473122100493299,1.8888620094277515
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,best_swr,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.3700532685143956,True,source_shunt,0.0,120.0,0.9937409778818218,0.02726801252632168,0.9756212027988279,0.9695147681115465,0.1344557115412143,0.5835980056004005,2.338862009427751
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,best_swr,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.3700532685143956,True,source_shunt,0.0,120.0,0.9937409778818218,0.02726801252632168,0.9756212027988279,0.9695147681115465,0.1344557115412143,0.4743662681245124,3.2388620094277516
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,lowest_loss_swr_2p5,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.3703916037550465,True,load_shunt,0.0,120.0,0.9955464330468944,0.019384793374586366,0.9755835755351032,0.9712387487631075,0.12673999211260645,0.6484632536046725,1.8811462899991436
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,lowest_loss_swr_2p5,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.3703916037550465,True,load_shunt,0.0,120.0,0.9955464330468944,0.019384793374586366,0.9755835755351032,0.9712387487631075,0.12673999211260645,0.5846357532480247,2.3311462899991433
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,lowest_loss_swr_2p5,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.3703916037550465,True,load_shunt,0.0,120.0,0.9955464330468944,0.019384793374586366,0.9755835755351032,0.9712387487631075,0.12673999211260645,0.4752097810805788,3.2311462899991437
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,optimistic,best_swr,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.3725565617113473,True,source_shunt,0.0,120.0,0.9969946237307085,0.013071836044746033,0.9753423726866677,0.9724111018653606,0.1215009152826809,0.6492459941080027,1.875907213169218
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,optimistic,best_swr,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.3725565617113473,True,source_shunt,0.0,120.0,0.9969946237307085,0.013071836044746033,0.9753423726866677,0.9724111018653606,0.1215009152826809,0.5853414494940624,2.3259072131692173
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,optimistic,best_swr,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.3725565617113473,True,source_shunt,0.0,120.0,0.9969946237307085,0.013071836044746033,0.9753423726866677,0.9724111018653606,0.1215009152826809,0.47578339252450075,3.2259072131692177
