candidate_id,label,band,frequency_hz,scenario,raw_resistance_ohm,raw_reactance_ohm,raw_swr_50ohm,tuner_plane_resistance_ohm,tuner_plane_reactance_ohm,tuner_plane_raw_swr,nec_radiation_efficiency,nec_loss_db,transformer_loss_db,choke_loss_db,feedline_loss_db,tuner_internal_loss_db,residual_input_swr,residual_mismatch_efficiency,residual_mismatch_loss_db,topology,l_mask,c_mask,inductance_uH,capacitance_pF,final_efficiency,total_loss_db,likely_power_rollback
direct-42r-24c-z4,42/24 ft direct wire with 4:1 transformer,20m,14050000,representative nominal,204.72,-205.27,8.335090885675775,51.18,-51.3175,2.6526733106436957,0.9393,0.27195677663422296,0.35,0.2,-0.0,0.08714009953959927,1.124459613616863,0.9965678999640237,0.014931058193997294,source_shunt,2,1,0.7,60.0,0.8083458379911517,0.9240279343678195,False
direct-42r-24c-z4,42/24 ft direct wire with 4:1 transformer,17m,18080000,representative nominal,1045.6,1419.1,59.46336980250203,261.4,354.775,14.982625620727491,0.9489,0.22779553364614732,0.35,0.2,-0.0,0.26385241766023915,1.273976506460274,0.9854837412704129,0.06350536412229207,load_shunt,5,1,1.75,60.0,0.7753265721566625,1.1051533154286788,False
direct-42r-24c-z4,42/24 ft direct wire with 4:1 transformer,15m,21050000,representative nominal,1117.3,-889.12,36.514162894738426,279.325,-222.28,9.194441284347725,0.9533,0.2077040697784463,0.35,0.2,-0.0,0.2877401368358073,2.138121385618359,0.8684661019269179,0.6124712832038683,load_shunt,2,1,0.7,60.0,0.682666279090242,1.6579154898181214,False
ocfd-68ft-f0.36-z4,68 ft OCFD at 36% with 4:1 transformer,40m,7050000,representative nominal,65.992,16.744,1.4924259349407631,16.498,4.186,3.0544850419641794,0.9093000000000001,0.4129280891271524,0.35,0.2,-0.0,0.09766844337790348,1.6866894057548572,0.9346740448037181,0.2933981717444105,source_shunt,1,7,0.35,420.0,0.7321507803120486,1.3539947042494662,False
ocfd-68ft-f0.36-z4,68 ft OCFD at 36% with 4:1 transformer,30m,10120000,representative nominal,1188.0,1364.9,55.14678256909472,297.0,341.225,13.876995573355536,0.9412999999999999,0.26271941311972624,0.35,0.2,-0.0,0.2742007910704463,1.2276464416044013,0.9895569055605908,0.04559226156580108,load_shunt,7,2,2.4499999999999997,120.0,0.7704576175741242,1.1325124657559744,False
ocfd-68ft-f0.36-z4,68 ft OCFD at 36% with 4:1 transformer,20m,14050000,representative nominal,122.28,-50.774,2.9354945806213464,30.57,-12.6935,1.7954366327358071,0.9087000000000001,0.41579471947481794,0.35,0.2,-0.0,0.08459552962226025,1.2210750134390453,0.990092755813232,0.04324117068267462,source_shunt,1,3,0.35,180.0,0.7773862557847586,1.093631419779753,False
ocfd-68ft-f0.36-z4,68 ft OCFD at 36% with 4:1 transformer,17m,18080000,representative nominal,1088.0,1421.0,58.90738081620842,272.0,355.25,14.836020192139388,0.9489,0.22779553364614732,0.35,0.2,-0.0,0.2664845580113476,1.3184255497655517,0.9811361859737148,0.08270706471297173,load_shunt,5,1,1.75,60.0,0.7714384556979068,1.1269871563704665,False
ocfd-68ft-f0.36-z4,68 ft OCFD at 36% with 4:1 transformer,15m,21050000,representative nominal,847.56,-813.02,32.57724827697401,211.89,-203.255,8.252027066807335,0.9212,0.35646070707806476,0.35,0.2,-0.0,0.29036313141170317,2.1320017285280732,0.869367814158081,0.6079644235117183,load_shunt,2,1,0.7,60.0,0.6599654097468728,1.8047882620014866,False
vertical-32r-4x12-z1,32 ft vertical with four 12 ft radials,40m,7050000,representative nominal,39.659,-257.36,35.42753669198085,39.659,-257.36,35.42753669198085,0.9445999999999999,0.2475205875931892,0.0,0,-0.0,0.3639977805737351,1.7287798085546617,0.9286727175983228,0.3213731289984333,load_shunt,15,0,5.25,0.0,0.8066977586386501,0.9328914971653575,False
vertical-32r-4x12-z1,32 ft vertical with four 12 ft radials,30m,10120000,representative nominal,108.04,172.8,8.026557911257841,108.04,172.8,8.026557911257841,0.9567,0.19224226037378372,0.0,0,-0.0,0.18211787086275139,1.2699837680435422,0.9858541253553598,0.06187341894543316,load_shunt,5,3,1.75,180.0,0.9044335100942003,0.43623355018196835,False
